学校,课程名称,科目,参加人数,评价人数,评分
PKU,社区护理学,医药卫生,医药卫生,22,4.9
PKU,基础俄语Ⅲ,外语,外语,21,4.8
PKU,孕产期妇女保健与护理,医药卫生,医药卫生,36,4.8
PKU,医事法,法学,法学,21,4.9
PKU,90年代以来的长篇小说研究,文学文化,文学文化,54,4.4
PKU,水文学与水资源概论,理学,理学,22,4.9
PKU,口腔正畸学,医药卫生,医药卫生,113,5.0
PKU,儿科护理学（一）,医药卫生,医药卫生,13,4.8
PKU,光学,理学,理学,18,4.8
PKU,医学心理学,心理学,心理学,36,4.7
PKU,健康和护理的国际化视角,医药卫生,医药卫生,5,
PKU,口腔修复学,医药卫生,医药卫生,27,5.0
PKU,护理教育学,医药卫生,医药卫生,36,4.7
PKU,基础护理学（上）,医药卫生,医药卫生,21,5.0
PKU,西班牙语语音,外语,外语,29,5.0
PKU,意大利语语音,外语,外语,33,4.8
PKU,实用Python程序设计,计算机,计算机,275,4.9
PKU,呼吸系统疾病患者的护理,医药卫生,医药卫生,19,4.8
PKU,英语阅读,外语,外语,62,4.8
PKU,推荐系统,计算机,计算机,5,
NJU,遗传学实验,理学,理学,,
NJU,环境学,工学,工学,7,
NJU,研究生学术规范与学术诚信,教育教学,教育教学,158,4.8
NJU,传播理论前沿,文学文化,文学文化,59,4.9
NJU,大学生劳动教育,法学,法学,98,4.9
NJU,应用统计与R语言,管理学,管理学,28,4.8
NJU,21世纪国外马克思主义哲学若干重大问题研究,哲学,哲学,1,
NJU,人体解剖学,医药卫生,医药卫生,8,
NJU,工艺人文,艺术设计,艺术设计,1,
NJU,环境科学统计与建模方法,工学,工学,3,
NJU,研究生心理适应与卓越发展,心理学,心理学,405,4.9
NJU,语用学导论,外语,外语,16,4.9
NJU,土壤环境化学,工学,工学,2,
NJU,建筑设计基础,工学,工学,6,
NJU,英语口语进阶,外语,外语,66,4.7
NJU,环境工程基础实验,工学,工学,1,
NJU,视觉人文,艺术设计,艺术设计,13,4.8
NJU,应急管理原理,管理学,管理学,18,4.9
NJU,日语学习难点解析,外语,外语,9,
NJU,演化——地球生命简史,历史,历史,19,5.0
ZJU,数据智能与应用,工学,工学,2,
ZJU,自然辩证法概论,哲学,哲学,8,
ZJU,工程电磁场与波,工学,工学,,
ZJU,高分子化学,工学,工学,10,4.6
ZJU,口腔组织病理学,医药卫生,医药卫生,6,
ZJU,半导体材料,工学,工学,7,
ZJU,海洋天然产物化学,理学,理学,1,
ZJU,基因工程综合实验,理学,理学,11,5.0
ZJU,科学技术史,哲学,哲学,8,
ZJU,大数据解析与应用导论,工学,工学,16,4.4
ZJU,食品分析,工学,工学,5,
ZJU,现代龋病学,医药卫生,医药卫生,3,
ZJU,口腔医学技能实践操作课程,医药卫生,医药卫生,,
ZJU,动物疾病的病理基础,农林园艺,农林园艺,1,
ZJU,结构力学I-超静定,工学,工学,,
ZJU,急救临床技能操作技术,医药卫生,医药卫生,21,4.8
ZJU,运动与脑,教育教学,教育教学,12,4.9
ZJU,系统化口腔正畸学（基础篇）,医药卫生,医药卫生,2,
ZJU,儿科临床思维训练,医药卫生,医药卫生,,
ZJU,国土空间规划,管理学,管理学,16,4.4
FUDAN,身边的基因科学,理学,理学,11,4.8
FUDAN,中国特色社会主义理论与实践研究,法学,法学,43,4.9
FUDAN,国际税收,经济学,经济学,3,
FUDAN,行政法学,法学,法学,111,4.7
FUDAN,习近平新时代中国特色社会主义思想概论,国家精品,国家精品,1643,4.9
FUDAN,全球网络空间治理概论,法学,法学,82,4.8
FUDAN,物种起源导论,理学,理学,17,4.8
FUDAN,食品安全,医药卫生,医药卫生,105,4.7
FUDAN,民法Ⅰ（民法总论）,法学,法学,154,4.6
FUDAN,护理科研,医药卫生,医药卫生,41,4.8
FUDAN,政治学原理,法学,法学,53,4.8
FUDAN,音频音乐与计算机的交融-音频音乐技术,计算机,计算机,26,4.9
FUDAN,景观生态学,理学,理学,14,5.0
FUDAN,中国马克思主义与当代,法学,法学,33,4.7
FUDAN,现代医院管理学理论,医药卫生,医药卫生,10,4.9
FUDAN,半导体器件基础,工学,工学,5,
FUDAN,中华优秀传统文化,哲学,哲学,884,4.9
FUDAN,机器视觉与边缘计算应用,计算机,计算机,111,4.7
FUDAN,药物化学,医药卫生,医药卫生,14,5.0
FUDAN,医学统计学,医药卫生,医药卫生,42,4.9
BUAA,空气动力学(上）,工学,工学,6,
BUAA,电子设计基础训练,工学,工学,3,
BUAA,机械设计,工学,工学,18,4.7
BUAA,自动控制原理（I）,工学,工学,30,4.8
BUAA,线性代数,理学,理学,1527,5.0
BUAA,汽车构造（底盘部分）,工学,工学,10,4.6
BUAA,电路,工学,工学,6,
BUAA,材料力学研讨与进阶,工学,工学,,
BUAA,基础物理实验（1）,理学,理学,93,4.1
BUAA,大学计算机基础,计算机,计算机,47,4.8
BUAA,Explore the Materials——From an Atom to a Device（走进材料——从原子到器件）,工学,工学,7,
BUAA,空气动力学（下）,工学,工学,2,
BUAA,聆听音乐的钥匙,艺术设计,艺术设计,63,4.8
BUAA,误差理论与数据处理,工学,工学,21,4.8
BUAA,自动控制原理（II）,工学,工学,17,4.4
BUAA,算法设计与分析,计算机,计算机,215,4.8
BUAA,汽车构造（动力部分）,工学,工学,5,
BUAA,质量工程技术基础,工学,工学,23,5.0
BUAA,电气技术实践,工学,工学,2,
BUAA,电子信息工程导论,工学,工学,16,4.8
WHU,水环境数学模型,工学,工学,2,
WHU,疫苗与健康,医药卫生,医药卫生,1,
WHU,训诂学,文学文化,文学文化,44,4.7
WHU,大学生物学（通识版）,理学,理学,3,
WHU,中国特色社会主义政治经济学,法学,法学,14,4.9
WHU,空间数据分析,工学,工学,14,4.5
WHU,临床血液学检验,医药卫生,医药卫生,4,
WHU,档案学基础,管理学,管理学,12,4.9
WHU,西方美术鉴赏,艺术设计,艺术设计,25,5.0
WHU,临床神经病学,医药卫生,医药卫生,6,
WHU,法律职业伦理,法学,法学,8,
WHU,大学物理-力学,理学,理学,1,
WHU,大地测量学基础,工学,工学,,
WHU,印刷材料,工学,工学,1,
WHU,地球科学概论,理学,理学,,
WHU,抑郁症的心理辅导,心理学,心理学,211,4.9
WHU,结构力学I,工学,工学,3,
WHU,感染与健康,医药卫生,医药卫生,10,4.9
WHU,网络营销,管理学,管理学,25,4.8
WHU,结构力学II,工学,工学,2,
BIT,新制度经济学理论与案例,经济学,经济学,3,
BIT,普通物理热学,理学,理学,13,5.0
BIT,大数据思维与技术,计算机,计算机,78,5.0
BIT,数学建模,理学,理学,38,4.9
BIT,液压与气压传动,工学,工学,17,4.6
BIT,数学建模导引——透过数学看世界,理学,理学,13,4.6
BIT,无损检测技术,工学,工学,26,4.8
BIT,新能源材料与器件,工学,工学,23,4.8
BIT,制造技术基础训练,工学,工学,57,4.9
BIT,传热学,工学,工学,1,
BIT,人格理论与个人成长,心理学,心理学,97,4.9
BIT,生产计划与控制,管理学,管理学,11,5.0
BIT,新标准日本语（初级）,外语,外语,34,4.8
BIT,证据法,法学,法学,2,
BIT,数据仓库与数据挖掘,计算机,计算机,1,
BIT,人因工程学（下）,管理学,管理学,1,
BIT,初级日语视听说,外语,外语,,
BIT,企业危机管理,管理学,管理学,17,4.8
BIT,概率论与数理统计习题精讲,理学,理学,14,4.9
BIT,制药过程安全与环保,工学,工学,2,
CAU,作物育种学,农林园艺,农林园艺,55,5.0
CAU,微观经济学,经济学,经济学,536,4.7
CAU,农业、环境与人类健康,农林园艺,农林园艺,7,
CAU,简明物理化学,理学,理学,30,4.3
CAU,信息与计算思维导论,计算机,计算机,25,4.7
CAU,机械制图与CAD基础,工学,工学,71,4.8
CAU,普通昆虫学,农林园艺,农林园艺,124,4.8
CAU,农业经济学,管理学,管理学,53,5.0
CAU,畜牧生物统计与试验设计,农林园艺,农林园艺,23,4.9
CAU,农药学,农林园艺,农林园艺,30,4.9
CAU,兽医病理解剖学,农林园艺,农林园艺,48,4.8
CAU,遗传学,农林园艺,农林园艺,140,4.7
CAU,动物育种学,农林园艺,农林园艺,4,
CAU,遥感数字影像处理与农业应用,农林园艺,农林园艺,37,4.5
CAU,流体力学,工学,工学,1,
CAU,兽医寄生虫学,农林园艺,农林园艺,32,4.5
CAU,植物学,理学,理学,115,4.8
CAU,家畜解剖及组织学,农林园艺,农林园艺,3,
CAU,机械制造工程学,工学,工学,39,4.7
CAU,动物遗传学,农林园艺,农林园艺,15,4.5
BNU,影像史学基础,历史,历史,1,
BNU,中国史学史,历史,历史,,
BNU,女子形体,教育教学,教育教学,31,4.9
BNU,中国近代史料学,历史,历史,19,4.9
BNU,人文地理学野外实习,理学,理学,101,4.9
BNU,植物生理学,理学,理学,4,
BNU,行为生态学,理学,理学,2,
BNU,哲学入门,哲学,哲学,12,4.9
BNU,小分子与大健康,教育教学,教育教学,6,
BNU,发育生物学实验,工学,工学,,
BNU,金融与投资分析,经济学,经济学,36,4.7
BNU,时尚运动——健康球,教育教学,教育教学,21,4.8
BNU,普通物理实验-光学,理学,理学,11,4.5
BNU,自然资源与环境经济学,理学,理学,,
BNU,高等高分子化学,理学,理学,1,
BNU,常微分方程,理学,理学,8,
BNU,电子政务,管理学,管理学,3,
BNU,传媒经济学,文学文化,文学文化,7,
BNU,环境微生物实验指导,理学,理学,1,
BNU,破产法,法学,法学,33,4.9
MUC,中国少数民族神话赏析,国家精品,国家精品,293,4.6
MUC,中国民族文化英语说,外语,外语,93,4.9
MUC,《红楼梦》经典章回评讲,文学文化,文学文化,555,4.8
MUC,中国人类学民族学史,法学,法学,24,4.8
MUC,中国少数民族服饰艺术,艺术设计,艺术设计,159,5.0
MUC,民族舞蹈技术技巧,艺术设计,艺术设计,89,4.8
MUC,中国少数民族歌曲欣赏与学唱,艺术设计,艺术设计,1,
MUC,走进少数民族语言,文学文化,文学文化,89,4.7
MUC,民族学导论,法学,法学,17,4.9
MUC,跟我学哈萨克语,外语,外语,24,5.0
MUC,文化人类学入门与导读,外语,外语,51,4.8
MUC,唐史四讲,国家精品,国家精品,254,4.8
MUC,《红楼梦》艺术导论,文学文化,文学文化,,
NKU,思辨式英文写作,国家精品,国家精品,296,4.7
NKU,微生物生理学,理学,理学,105,4.9
NKU,中国近现代史纲要,法学,法学,804,4.7
NKU,马克思主义基本原理概论,法学,法学,627,4.8
NKU,国学概论,历史,历史,14,4.9
NKU,环境学基础,国家精品,国家精品,69,4.6
NKU,毛泽东思想和中国特色社会主义理论体系概论,法学,法学,654,4.7
NKU,大学语文,文学文化,文学文化,572,4.8
NKU,诸子的智慧,历史,历史,579,4.6
NKU,数学文化十讲CAP,理学,理学,288,4.9
NKU,数学文化十讲,国家精品,国家精品,838,4.9
NKU,环境化学,工学,工学,115,4.7
NKU,思想道德与法治,国家精品,国家精品,1552,4.7
NKU,化学概论,理学,理学,11,4.9
NKU,Python编程基础,计算机,计算机,387,4.7
NKU,面向对象程序设计,计算机,计算机,15,4.9
TJU,教育统计学,教育教学,教育教学,118,4.9
TJU,电工学（电气工程学概论）,国家精品,国家精品,32,4.4
TJU,创业管理：创业者的十八般武艺,管理学,管理学,23,4.8
TJU,电磁学,理学,理学,7,
TJU,有机化学（下）,理学,理学,48,4.4
TJU,机械制造技术基础,工学,工学,47,4.8
TJU,建筑遗产测绘实习,工学,工学,5,
TJU,创新思维与创业实践,管理学,管理学,,
TJU,民法学,法学,法学,214,4.8
TJU,大气污染控制,国家精品,国家精品,69,4.2
TJU,有机化学（上）,理学,理学,103,4.4
TJU,分析化学,理学,理学,4,
TJU,无机化学实验（下）,理学,理学,12,4.6
TJU,分析化学实验（下）,理学,理学,4,
TJU,信号分析与处理,工学,工学,32,4.7
TJU,化工生产虚拟仿真实习,理学,理学,,
TJU,神经工程学,工学,工学,21,5.0
TJU,分析化学实验（上）,理学,理学,26,5.0
TJU,固体废物处理与污染控制,工学,工学,5,
TJU,无机化学实验（上）,理学,理学,14,4.9
DUT,生物工程综合实验,工学,工学,,
DUT,有机化学实验（下）,理学,理学,1,
DUT,化工原理实验,工学,工学,4,
DUT,优化方法,理学,理学,203,4.7
DUT,人才测评理论与方法,管理学,管理学,172,4.7
DUT,理论力学（英文）,工学,工学,,
DUT,道路工程施工,工学,工学,5,
DUT,经济学的思维方式,经济学,经济学,15,4.9
DUT,高等数学（下）,理学,理学,418,4.4
DUT,化学实验室安全基础,理学,理学,414,5.0
DUT,无损检测新技术,工学,工学,1,
DUT,物理化学实验,理学,理学,39,4.6
DUT,城市管理学,管理学,管理学,10,4.6
DUT,3D工程制图实践—Autodesk Inventor,工学,工学,101,4.9
DUT,有机化学实验（上）,理学,理学,2,
DUT,工程经济与管理,工学,工学,145,4.7
DUT,市场营销学,管理学,管理学,21,4.8
DUT,无机化学实验（英文）,理学,理学,,
DUT,面向对象方法与C++程序设计,计算机,计算机,6,
DUT,组织行为学,管理学,管理学,91,4.9
JLU,材料学概论,工学,工学,14,4.6
JLU,英文电影中的西方文化,外语,外语,445,4.8
JLU,网络环境下的政府形态,管理学,管理学,39,4.9
JLU,International Relation and International Law,法学,法学,10,4.8
JLU,国际法,国家精品,国家精品,164,4.7
JLU,国学通论（一）,文学文化,文学文化,123,4.7
JLU,西方现代艺术赏析,国家精品,国家精品,192,4.7
JLU,国际学术交流英语,外语,外语,65,4.7
JLU,国际金融,经济学,经济学,16,4.9
JLU,私法英语表达,外语,外语,21,4.4
JLU,工程图学（一）,国家精品,国家精品,101,4.5
JLU,国学通论（二）,文学文化,文学文化,53,4.8
JLU,人权法学,法学,法学,,
JLU,无机元素化学,国家精品,国家精品,73,4.6
JLU,机械精度设计基础,工学,工学,21,4.8
JLU,综合日语实践——基础日语1,外语,外语,241,4.8
JLU,无机化学原理,理学,理学,104,4.7
JLU,控制工程基础,工学,工学,33,4.5
JLU,走进计算机,计算机,计算机,,
JLU,中国文化的日本之旅,外语,外语,156,4.9
HIT,建筑师职业素养与领导力,工学,工学,80,4.7
HIT,工程流体力学,工学,工学,38,4.7
HIT,科技俄语阅读,外语,外语,25,4.8
HIT,热处理原理与工艺,工学,工学,50,4.5
HIT,电工学实验,工学,工学,46,4.7
HIT,高等流体力学,工学,工学,13,4.8
HIT,博弈论——策略互动的艺术,经济学,经济学,55,4.4
HIT,大学化学,理学,理学,13,4.5
HIT,职业发展英语,外语,外语,360,4.8
HIT,会计信息系统,管理学,管理学,109,4.7
HIT,改变世界的物理学,理学,理学,28,4.9
HIT,大学物理（光学）,理学,理学,10,3.5
HIT,项目管理与大学学习,管理学,管理学,19,4.7
HIT,英文期刊论文发表-通往国际学术舞台的阶梯,外语,外语,238,4.8
HIT,尚派形意拳-初级,教育教学,教育教学,1,
HIT,金羽飞扬——世界冠军的羽毛球课堂,教育教学,教育教学,608,4.8
HIT,信号与系统,工学,工学,53,4.3
HIT,材料物理性能,工学,工学,,
HIT,芭蕾形体,教育教学,教育教学,8,
HIT,现代电路分析与综合,工学,工学,21,4.8
NEU,井巷工程,工学,工学,2,
NEU,应用岩石力学,工学,工学,6,
NEU,机械振动基础,工学,工学,24,4.8
NEU,创新经济学,经济学,经济学,6,
NEU,金属凝固,工学,工学,8,
NEU,泵与风机,工学,工学,38,4.9
NEU,电动汽车概论,工学,工学,1,
NEU,分析化学实验,理学,理学,9,
NEU,电子元器件应用,工学,工学,12,4.9
NEU,遥感原理与应用,工学,工学,8,
NEU,软件产品构建,计算机,计算机,20,4.8
NEU,大学物理（热学、振动波、光学、近代物理）,国家精品,国家精品,278,4.7
NEU,英汉交替传译,外语,外语,91,4.6
NEU,篮球团队合作与实战应用教程,教育教学,教育教学,6,
NEU,数据科学基础（Matlab）,计算机,计算机,6,
NEU,乒乓球基础课程教学,教育教学,教育教学,119,4.6
NEU,细胞工程,工学,工学,11,4.8
NEU,武术基础教与学,教育教学,教育教学,1361,4.7
NEU,质量管理与可靠性,管理学,管理学,6,
NEU,大学物理实验,理学,理学,350,4.5
TONGJI,电子技术基础,工学,工学,27,4.3
TONGJI,零基础的住宅和城市设计,工学,工学,15,4.9
TONGJI,路基工程,工学,工学,18,4.8
TONGJI,管理信息系统,管理学,管理学,112,4.6
TONGJI,面向对象程序设计,计算机,计算机,14,4.9
TONGJI,可持续智能城镇化,计算机,计算机,116,4.8
TONGJI,C语言程序设计,计算机,计算机,13,4.1
TONGJI,景观生态学,工学,工学,15,4.5
TONGJI,铺面工程,工学,工学,3,
TONGJI,解读中国经济发展的密码,经济学,经济学,43,4.8
TONGJI,医用物理学,理学,理学,11,4.7
TONGJI,中外风景园林史,工学,工学,58,4.6
TONGJI,城市轨道交通结构设计与施工,工学,工学,24,4.9
TONGJI,道路规划与几何设计,工学,工学,49,4.7
TONGJI,工业废水污染防治,工学,工学,105,4.8
TONGJI,普通化学,理学,理学,123,4.9
TONGJI,土木工程制图,工学,工学,96,4.9
TONGJI,复变函数与积分变换,理学,理学,30,3.9
TONGJI,城乡发展与规划概论,工学,工学,22,4.6
TONGJI,城乡规划管理与法规,工学,工学,87,4.8
SJTU,广告的力量—广告创意与设计,艺术设计,艺术设计,68,4.8
SJTU,高校教师教学能力入门,教育教学,教育教学,18,4.9
SJTU,大学物理—热学,理学,理学,18,4.7
SJTU,生物医学工程研究的伦理及学术道德,工学,工学,2,
SJTU,健康体适能,教育教学,教育教学,1,
SJTU,血液系统整合课程,医药卫生,医药卫生,7,
SJTU,法语与英语词汇中的文化,外语,外语,213,5.0
SJTU,设计与制造I(原：现代机械工程图学),工学,工学,7,
SJTU,景观艺术学,工学,工学,8,
SJTU,机械振动学,工学,工学,29,4.5
SJTU,骨关节系统,医药卫生,医药卫生,5,
SJTU,自动控制原理,工学,工学,3,
SJTU,大学物理—力学,理学,理学,33,4.4
SJTU,大学物理—电磁学,理学,理学,9,
SJTU,文化市场营销,管理学,管理学,18,4.6
SJTU,英语读写进阶,外语,外语,14,4.6
SJTU,两相流动与传热,工学,工学,1,
SJTU,Chinese Competition Law,法学,法学,1,
SJTU,汉语写作进阶,文学文化,文学文化,3,
SJTU,图形创意设计,艺术设计,艺术设计,2,
ECNU,中国近现代史纲要,法学,法学,614,4.6
ECNU,微生物星球,理学,理学,17,4.8
ECNU,运动技能学习与控制,教育教学,教育教学,2,
ECNU,江南史（下）,历史,历史,1,
ECNU,Python机器学习——解“码”人工智能,计算机,计算机,32,4.9
ECNU,特殊学校语文教材教法,教育教学,教育教学,31,4.8
ECNU,江南史（上）,历史,历史,2,
ECNU,毛泽东思想和中国特色社会主义理论体系概论,法学,法学,206,4.7
ECNU,体育英语I,外语,外语,15,4.9
ECNU,传感器技术实验,工学,工学,2,
ECNU,音乐聆听,艺术设计,艺术设计,21,4.9
ECNU,儿童舞蹈教育,艺术设计,艺术设计,4,
ECNU,政府经济学,法学,法学,37,4.6
ECNU,体育游戏与基本体操,教育教学,教育教学,26,4.9
ECNU,单片机C51实战,工学,工学,14,5.0
ECNU,心理学与生活,心理学,心理学,59,4.9
ECNU,动物学,理学,理学,35,4.7
ECNU,新闻法规与伦理,文学文化,文学文化,7,
ECNU,世界地理,理学,理学,30,4.5
ECNU,儿童语言康复学,教育教学,教育教学,90,4.8
RUC,数据库系统概论（新技术篇）,国家精品,国家精品,34,4.3
RUC,数据库系统概论（基础篇）,国家精品,国家精品,1118,4.5
RUC,大学英语写作（二）：说明文、议论文,外语,外语,3,
RUC,金融数学,理学,理学,11,5.0
RUC,大学英语写作（三）：学术英语写作,外语,外语,,
RUC,数据库系统概论（高级篇）,国家精品,国家精品,199,4.5
RUC,传播理论,文学文化,文学文化,534,4.9
RUC,信息分析,管理学,管理学,13,4.7
RUC,线性代数,理学,理学,105,4.6
RUC,大学英语写作（一）：记叙文、描写文、应用文,外语,外语,5,
SEU,Road Survey and Design,工学,工学,1,
SEU,大学英语综合技能提升,外语,外语,218,4.8
SEU,General Pathology （普通病理学）,医药卫生,医药卫生,,
SEU,法理,法学,法学,3,
SEU,交通法,法学,法学,1,
SEU,高等数学（下）,理学,理学,6,
SEU,微积分预备讲演,理学,理学,46,4.6
SEU,数字逻辑电路实验,工学,工学,8,
SEU,工程经济学原理,工学,工学,25,5.0
SEU,学术英语写作,外语,外语,488,4.6
SEU,University Physics I,理学,理学,,
SEU,影像解剖学,医药卫生,医药卫生,1,
SEU,Academic Writing（学术英语写作）,外语,外语,157,4.8
SEU,影像技术学,医药卫生,医药卫生,2,
SEU,Mechanics of Vibration,工学,工学,1,
SEU,建筑理论与设计系列：空间,工学,工学,1,
SEU,放射诊断学,医药卫生,医药卫生,5,
SEU,Civil engineering materials,工学,工学,,
SEU,创新的旅程,管理学,管理学,1,
SEU,计算机结构与逻辑设计,工学,工学,,
USTC,天文学导论,理学,理学,7,
USTC,有机化学（上）,理学,理学,46,4.7
USTC,文献管理与信息分析,国家精品,国家精品,3016,4.9
USTC,电磁学,理学,理学,9,
USTC,基础微积分Ⅰ,国家精品,国家精品,46,4.8
USTC,有机化学（中）,理学,理学,20,4.9
USTC,符号计算语言-Mathematica,理学,理学,105,4.8
USTC,基础英语写作,外语,外语,145,4.7
USTC,有机化学（下）,理学,理学,10,5.0
USTC,沉浸式媒体：虚拟现实、增强现实与混合现实,文学文化,文学文化,8,
USTC,计算机网络,计算机,计算机,28,5.0
USTC,生理学,理学,理学,65,4.8
USTC,基础微积分Ⅱ,理学,理学,6,
USTC,化学实验安全知识,国家精品,国家精品,1616,4.8
USTC,3D动画与特效,艺术设计,艺术设计,39,4.6
XMU,化学工艺学,工学,工学,2,
XMU,单片机原理与实验,工学,工学,1,
XMU,传播研究方法,文学文化,文学文化,2,
XMU,电工技术,工学,工学,23,4.7
XMU,国际企业管理,管理学,管理学,10,4.9
XMU,气体动力学基础（Fundamentals of Gas Dynamics）,工学,工学,,
XMU,西方古代建筑艺术史,艺术设计,艺术设计,4,
XMU,结构力学（上）,工学,工学,,
XMU,大学物理：电磁学,理学,理学,,
